rule_id,crop,condition,condition_definition,advisory_text
R1,ragi,HEAVY_RAIN,Rain next 48h >= 20mm,"Heavy rain is expected. Clear your field drainage channels, postpone fertilizer top-dressing and all spraying until the field dries, and support young plants if winds pick up."
R2,ragi,HOT_DRY,Rain next 48h < 2mm AND max temp >= 34C,"A hot dry spell is ahead. Give light irrigation in the early morning or evening, spread mulch around plants to hold soil moisture, and avoid heavy field work at midday."
R3,ragi,NORMAL,All other conditions,"Weather is stable. This is a good window for weeding and scheduled top-dressing. Check leaves for early signs of blast disease and remove any affected plants."
R4,tur,HEAVY_RAIN,Rain next 48h >= 20mm,"Heavy rain is expected. Clear drainage in low-lying patches, delay any pesticide spraying, and after the rain watch closely for waterlogging and wilt symptoms."
R5,tur,HOT_DRY,Rain next 48h < 2mm AND max temp >= 34C,"Hot dry days ahead. If the crop is flowering, give light protective irrigation in the evening, and monitor pod borer traps as dry heat increases pest activity."
R6,tur,NORMAL,All other conditions,"Weather is stable. Good time for intercultivation between rows. Keep monitoring pod borer with pheromone traps as per your schedule."
R7,soybean,HEAVY_RAIN,Rain next 48h >= 20mm,"Heavy rain is expected. Open drainage furrows so water does not stand in the field, postpone all spraying, and check low patches for yellowing after the rain passes."
R8,soybean,HOT_DRY,Rain next 48h < 2mm AND max temp >= 34C,"Hot dry weather ahead. Irrigate if the crop is at flowering or pod-fill stage to avoid moisture stress, and keep an eye on whitefly activity."
R9,soybean,NORMAL,All other conditions,"Weather is stable. Continue scheduled weeding and scout the field for girdle beetle and leaf-eating caterpillars."
R10,cotton,HEAVY_RAIN,Rain next 48h >= 20mm,"Heavy rain is expected. Postpone all sprays, open drainage furrows between rows, and after the rain check dense parts of the crop for boll rot."
R11,cotton,HOT_DRY,Rain next 48h < 2mm AND max temp >= 34C,"Hot dry days ahead. Irrigate alternate furrows in the evening if water is available, avoid extra nitrogen during the heat, and check pink bollworm traps."
R12,cotton,NORMAL,All other conditions,"Weather is stable. Continue monitoring squares and bolls, and refresh pheromone traps as per your schedule."
R13,paddy,HEAVY_RAIN,Rain next 48h >= 20mm,"Heavy rain is expected. Strengthen field bunds, keep outlets ready to drain extra standing water, and postpone fertilizer application until after the rain."
R14,paddy,HOT_DRY,Rain next 48h < 2mm AND max temp >= 34C,"Hot dry weather ahead. Maintain two to three centimeters of standing water, irrigate in the evening, and watch for leaf folder activity in the warm spell."
R15,paddy,NORMAL,All other conditions,"Weather is stable. Good window for weed management and the scheduled nitrogen split dose. Keep monitoring for stem borer."
